population of generation: 200
length of gene: 10
range of answer: 1 ~ 1000000
incidence of mutation: 1/200 (0.50%)
worst count of this game: 20


618122a62a(15) 5961212805(16) 6447852a64(16) 8588855763(17) 3678498018(17) 4353996549(18) 53715041a8(18) 2247965354(19) 0520146799(19) 3935462643(19) 
1357744345(18) 1357744345(18) 1357744345(18) 1357744345(18) 1357744345(18) 1357744345(18) 1357744345(18) 1357744345(18) 1357744345(18) 1357744345(18) 
7357744345(18) 7357744345(18) 7357744345(18) 1457744345(21) 1357744345(21) 1357744345(21) 1357744345(21) 1357744345(21) 1357744345(21) 1357744345(21) 
1357744345(20) 1357744345(20) 1357744345(20) 1357744345(20) 1357744345(20) 1357744345(20) 1357744345(20) 1357744345(20) 1357744345(20) 1357744345(20) 
5357744345(20) 5357744345(20) 5357744345(20) 5357744345(20) 5357744345(20) 5357744345(20) 5357893345(20) 5357893345(20) 5357893345(20) 5357893345(20) 
5357744345(17) 5357744345(17) 5357744345(17) 5357744345(17) 5357744345(17) 5357744345(17) 5357744345(17) 5357744345(17) 5357744345(17) 5357744345(17) 
5357894315(17) 5351794645(18) 5351794645(18) 5357894345(19) 5357894345(19) 5357894345(19) 1357793345(19) 5357894345(19) 5357793315(19) 5357793315(19) 
6857734345(19) 6857734345(19) 6857734345(19) 6857734345(19) 5357893345(19) 5357893345(19) 5357893345(19) 5357893345(19) 5357893345(19) 5357893345(19) 
6857893345(15) 6857893345(15) 6857893345(15) 6857893345(15) 6857893345(15) 6857893345(15) 6857893345(15) 6857893345(15) 6857893345(15) 5357743345(19) 
5357794345(16) 5857734345(18) 5857733345(19) 5357744345(20) 6857743345(20) 6857743345(20) 6857743345(20) 6857743345(20) 6857743345(20) 6857743345(20) 
5857733345(12) 5857733345(12) 5857733345(12) 5857733345(12) 5857733345(12) 6857733345(16) 6357893345(16) 6357893345(16) 6357893345(16) 6357893345(16) 
5357744345(16) 5357744345(16) 6857843345(17) 6357893345(18) 6357893345(18) 6357893345(18) 6357893345(18) 6357893345(18) 6357893345(18) 6357893345(18) 
6357893345(15) 6357893345(15) 6357893345(15) 6357893345(15) 6357893345(15) 6357893345(15) 6357893345(15) 6357893345(15) 6357893345(15) 6357893345(15) 
6857893345(18) 6857893345(18) 6857893345(18) 6857893345(18) 5357843345(20) 5357843345(20) 5357843345(20) 5357843345(20) 5357843345(20) 5357843345(20) 
5357893345(16) 5357893345(16) 5357893345(16) 5357893345(16) 6847843345(17) 6847843345(17) 6357744345(19) 6843843345(20) 6843843345(20) 6357793345(21) 
6357743345(15) 6357743345(15) 6357743345(15) 6357743345(15) 6357743345(15) 6357743345(15) 6357743345(15) 6357743345(15) 6853793345(16) 6853743345(17) 
5357893345(15) 5357893345(15) 5357893345(15) 5357893345(15) 5357893345(15) 5357893345(15) 5347843345(16) 5347843345(16) 5347843345(16) 5347843345(16) 
5347843345(15) 5347843345(15) 5347843345(15) 5347843345(15) 5347843345(15) 5347843345(15) 5347843345(15) 5347843345(15) 5347843345(15) 5347843345(15) 
6347743345(15) 6357743345(16) 6357743345(16) 6357743345(16) 5347843345(17) 5347843345(17) 5347843345(17) 5347843345(17) 5347843345(17) 5347843345(17) 
6347843345(17) 6347843345(17) 6347843345(17) 6347843345(17) 6347843345(17) 6347843345(17) 6347843345(17) 6347843345(17) 6347843345(17) 6347843345(17) 
5357843345(18) 5357843345(18) 5357843345(18) 5357843345(18) 5357843345(18) 5357843345(18) 5357843345(18) 5357843345(18) 5357843345(18) 5357843345(18) 
6347843245(17) 6347743345(18) 6347743345(18) 6347743345(18) 6347743345(18) 6357743345(19) 6357743345(19) 6357743345(19) 6357743345(19) 5347843345(19) 
5347743345(20) 5a57843345(20) 6347743345(21) 6347743345(21) 6347743345(21) 6347743345(21) 6347743345(21) 6347743345(21) 6347743345(21) 6347743345(21) 
5347843345(17) 5347843345(17) 5347843345(17) 5347843345(17) 5357843345(19) 5357843345(19) 5357843345(19) 5357843345(19) 6347743345(20) 6347743345(20) 
5347843345(19) 5347843345(19) 5347843345(19) 5347843345(19) 5347843345(19) 5347843345(19) 5347843345(19) 5347843345(19) 5347843345(19) 5347843345(19) 
5357843345(19) 5357843345(19) 5357843345(19) 5357843345(19) 5357843345(19) 5357843345(19) 5357843345(19) 5357843345(19) 5357843345(19) 5357843345(19) 
5807742345(19) 5807742345(19) 5347743345(20) 6347743345(20) 5347843349(21) 5357843345(22) 5357843345(22) 5357843345(22) 5357843345(22) 5357843345(22) 
5347843345(10) 5347843345(10) 5347843345(10) 5347843345(10) 5347843345(10) 5347843345(10) 5347843345(10) 5347843345(10) 5347843345(10) 5857843345(16) 
5347743345(17) 5347743345(17) 5347743345(17) 5347743345(17) 5347743345(17) 5347842345(17) 5257644849(18) 5357843345(19) 5357843345(19) 5357843345(19) 
5347843985(11) 5347843985(11) 5347843985(11) 5347742345(12) 5347742345(12) 5857443345(14) 5857443345(14) 5357643345(16) 5347843349(16) 5347843349(16) 
5347744345(14) 5357643349(15) 5347842345(16) 5347842345(16) 5347842345(16) 5347842345(16) 5347842345(16) 5347842345(16) 5347842345(16) 5347842345(16) 
5357643345(17) 5857443385(17) 5847643945(17) 5847643945(17) 5347744345(18) 5347744345(18) 5857643345(18) 5857643345(18) 5857643345(18) 5347743349(18) 
5357642345(14) 5347643349(15) 5347643349(15) 5347643349(15) 5347744345(16) 5347744345(16) 5347744345(16) 5357642349(16) 5357642349(16) 5357642349(16) 
5857643949(15) 5857643945(16) 5347644349(17) 5347644349(17) 5857643349(17) 5857443385(18) 7354242345(19) 7354242345(19) 7354242345(19) 7354242345(19) 
5847443345(16) 5847644345(16) 5357643349(16) 5357643349(16) 5857443945(16) 5857443945(16) 5847744345(17) 5854243349(17) 5854243349(17) 5854243349(17) 
5857243345(14) 5857243345(14) 7354242345(15) 7354244349(16) 7857244349(16) 5851743349(16) 5851743349(16) 5851743349(16) 5851743349(16) 5851743349(16) 
5857643349(12) 5857643349(12) 5347444345(15) 5354243349(15) 5847443349(15) 5847443349(15) 5354242345(16) 5854243349(16) 5854243349(16) 5847643345(17) 
7851743345(14) 7851242349(16) 5844243349(17) 5844243349(17) 5844243349(17) 7354743349(17) 5871343349(17) 5847443349(18) 5847443349(18) 5847643349(18) 
7347343349(10) 7347343349(10) 5347444349(16) 5847643349(16) 5847643349(16) 5847643349(16) 7354743349(16) 7354743349(16) 7354743349(16) 5847643349(16) 
7851243349(13) 7851243349(13) 7851243349(13) 5847643349(14) 5847643349(14) 5847643349(14) 5847643349(14) 5847643349(14) 5847643349(14) 5847643349(14) 
73477469a9(12) 73477469a9(12) 7347444349(15) 7347444349(15) 7347444349(15) 7347444349(15) 7347444349(15) 7347443349(16) 5344643349(17) 5354642349(17) 
7344643349(15) 7344643349(15) 7344643349(15) 7344643349(15) 7344643349(15) 7344643349(15) 7344643349(15) 7344643349(15) 7344643349(15) 7344643349(15) 
7347442349(16) 5354446349(17) 5354446349(17) 5354446349(17) 5344644349(18) 5344644349(18) 5344644349(18) 5344644349(18) 5347444349(18) 5344442349(19) 
