population of generation: 200
length of gene: 10
range of answer: 1 ~ 1000000
incidence of mutation: 1/200 (0.50%)
worst count of this game: 20


0174085469(16) 6379288357(16) 64a9223442(16) a305591a12(16) 2611685886(17) 3554a58729(17) 695667936a(18) a950245919(18) 3a61269496(18) 3229759144(19) 
4657765856(18) 4654665856(19) 4654665856(19) 4654645856(20) 4654645856(20) 4654645856(20) 4654645856(20) 4654645856(20) 4654645856(20) 4654645856(20) 
4657765856(18) 4654665856(18) 4654665856(18) 4654665856(18) 4654665856(18) 4654665856(18) 4657765856(18) 4657765856(18) 4657765856(18) 4657765856(18) 
4654665856(18) 4657765856(18) 4657765856(18) 4657765856(18) 4657765856(18) 4657765856(18) 4654665856(18) 4654665856(18) 4654665856(18) 4654665856(18) 
4657765856(19) 4657765856(19) 4657765856(19) 4657665856(19) 4654665856(19) 4657665856(19) 4657665856(19) 4657665856(19) 4654665856(19) 4654665856(19) 
4157776857(19) 4259755856(19) 4657665856(20) 4654665856(20) 4654665856(20) 4654665856(20) 4654665856(20) 4654665856(20) 4657665856(20) 4654665856(20) 
4654762856(18) 4159756857(18) 4654765856(20) 4654765856(20) 4654765856(20) 4654765856(20) 4654765856(20) 4654765856(20) 4657665859(20) 4657765856(21) 
4654762856(16) 4654762856(16) 4654762856(16) 4654665856(17) 4654665856(17) 4654665856(17) 4654665856(17) 4654665856(17) 4654665856(17) 4654665856(17) 
4654662856(16) 4654755859(17) 4654755859(17) 4659755859(17) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 
4654662856(15) 4654662856(15) 4654662856(15) 4654662856(15) 4654662856(15) 4654662856(15) 4654662856(15) 4654662856(15) 4654662856(15) 4654662856(15) 
4659755859(16) 4654655856(20) 4654655856(20) 4654655856(20) 4654655856(20) 4654655856(20) 4654655856(20) 4654655856(20) 4654665856(21) 4654665856(21) 
4654665859(16) 4654655389(18) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 
4654665856(13) 4654665856(13) 4654665856(13) 4654665856(13) 4654665856(13) 4654665856(13) 4654665856(13) 4654665856(13) 4654665856(13) 4654665856(13) 
4654655356(19) 4654665886(20) 4654665356(20) 4654665886(20) 4654665886(20) 4654665886(20) 4654665886(20) 4654665886(20) 4654665886(20) 4654665886(20) 
4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 
4654665356(17) 4654665356(17) 4654665356(17) 4654665356(17) 4654665356(17) 4654665356(17) 4654665356(17) 4654665356(17) 4654665356(17) 4654665356(17) 
4654665356(19) 4654665356(19) 4654665356(19) 4654665356(19) 4654665356(19) 4654665356(19) 4654665356(19) 4654665356(19) 4654665356(19) 4654665356(19) 
4654665356(17) 4654665356(17) 4654665356(17) 4654665356(17) 4654665356(17) 4654665356(17) 4654665356(17) 4654665356(17) 4654665356(17) 4654665356(17) 
46946a5356(16) 4654165356(18) 4654165356(18) 4654165356(18) 4654665356(19) 4654665356(19) 4654665356(19) 4654665356(19) 4654665356(19) 4654665356(19) 
4654665356(15) 4654665356(15) 4654665356(15) 4654665356(15) 4654665356(15) 4654665356(15) 4654665356(15) 4654665356(15) 4654665356(15) 4654665356(15) 
46946a5356(13) 4654669386(17) 4654669386(17) 4694165356(18) 4694165356(18) 4694165356(18) 4694165356(18) 4694165356(18) 4654665356(19) 4654665356(19) 
4654665356(18) 4654665356(18) 4654665356(18) 4654665356(18) 4654665356(18) 4654665356(18) 4654665356(18) 4654665356(18) 4654665356(18) 4654665356(18) 
4654165356(16) 4654165356(16) 4654165356(16) 4654669386(16) 4654669386(16) 4654669386(16) 4694665356(18) 4694665356(18) 4694665356(18) 4694665356(18) 
4694665356(16) 4694665356(16) 4694665356(16) 4694665356(16) 4694665356(16) 4694665356(16) 4694665356(16) 4694665356(16) 4694665356(16) 4694665356(16) 
4694665386(13) 4694665386(13) 4654669386(18) 4654669386(18) 4654669386(18) 4654669386(18) 4654669386(18) 4654669386(18) 4654669386(18) 4654669386(18) 
4694661856(14) 4654669356(15) 4654665386(16) 4694665356(16) 4694665356(16) 4694665356(16) 4694665356(16) 4694665356(16) 4694665356(16) 4694665356(16) 
4654665386(11) 4654665386(11) 4654665386(11) 4654665386(11) 4654665386(11) 4654665386(11) 4654665386(11) 4654665386(11) 4654665386(11) 4654665386(11) 
4654665386(20) 4654665386(20) 4654665386(20) 4654665386(20) 4654665386(20) 4654665386(20) 4654665386(20) 4654665386(20) 4654665386(20) 4654665386(20) 
4694665356(13) 4694665356(13) 4694665356(13) 4694665386(13) 4694665386(13) 4694665386(13) 4654665356(19) 4654665356(19) 4654665356(19) 4654665386(20) 
9556665386(22) 9556665386(22) 9556665386(22) 9556665386(22) 9554665386(22) 4694665356(22) 4694665356(22) 4694665356(22) 4694665356(22) 4694665356(22) 
4694665356(13) 4694665356(13) 4694665356(13) 4694665356(13) 4694665356(13) 4694665356(13) 4694665356(13) 4694665356(13) 4694665356(13) 4694665356(13) 
4654665386(15) 4654665386(15) 4654665386(15) 4654665386(15) 9656665386(17) 9656665386(17) 9656665386(17) 9656665386(17) 4654665356(19) 4654665356(19) 
9656665386(16) 9656665386(16) 9656665386(16) 9656665386(16) 9656665386(16) 9656665386(16) 9656665386(16) 9656665386(16) 9656665386(16) 9656665386(16) 
4654665356(14) 4654665356(14) 4654665356(14) 4654665356(14) 4654665356(14) 4654665356(14) 4654665356(14) 4656665356(19) 4656665356(19) 4656665356(19) 
4656665356(18) 4656665356(18) 4656665356(18) 4656665356(18) 4656665356(18) 4656665356(18) 4656665356(18) 4656665356(18) 4656665356(18) 4656665356(18) 
4656665356(17) 4656665356(17) 4656665356(17) 4656665356(17) 4656665356(17) 4656665356(17) 4656665356(17) 4656665356(17) 4656665356(17) 4656665356(17) 
4656665356(18) 4656665356(18) 4656665356(18) 4656665356(18) 4656665356(18) 4656665356(18) 4656665356(18) 4656665356(18) 4656665356(18) 4656665356(18) 
4656665356(17) 4656665356(17) 4656665356(17) 4656665356(17) 4656665356(17) 4656665356(17) 4656665356(17) 4656665356(17) 4656665356(17) 4656665356(17) 
4657665256(18) 4656665356(19) 4656665356(19) 4656665356(19) 4656665356(19) 4656665356(19) 4656665356(19) 4656665356(19) 4656665356(19) 4656665356(19) 
4656665756(16) 4656665756(16) 4656665756(16) 4656665756(16) 4656665756(16) 4656665756(16) 4656665756(16) 4656665756(16) 4656665756(16) 4656665756(16) 
4656665256(15) 4656665256(15) 4656665256(15) 4656665256(15) 4656665256(15) 4656665756(18) 4656665756(18) 4656665756(18) 4656665756(18) 4656665756(18) 
4656665756(16) 4656665756(16) 4656665756(16) 4656665756(16) 4656665756(16) 4656665756(16) 4656665756(16) 4656665756(16) 4656665756(16) 4656665756(16) 
4652165756(15) 4652165756(15) 4356758756(18) 4652665756(18) 4656665756(19) 4656665756(19) 4656665756(19) 4656665756(19) 4656665756(19) 4656665756(19) 
4356765756(14) 4356765756(14) 4356765756(14) 4656665756(15) 4656665756(15) 4656665756(15) 4656665756(15) 4656665756(15) 4656665756(15) 4656665756(15) 
4652165756(16) 4652165756(16) 4656665756(19) 4656665756(19) 4656665756(19) 4656665756(19) 4656665756(19) 4656665756(19) 4656665756(19) 4656665756(19) 
4652665756(20) 4652665756(20) 4652165756(20) 4652165756(20) 4652165756(20) 4656665756(21) 4656665756(21) 4656665756(21) 4656665756(21) 4656665756(21) 
4656765756(17) 4656765756(17) 4656665356(18) 4656665756(20) 4656665756(20) 4656665756(20) 4656665756(20) 4656665756(20) 4656665756(20) 4656665756(20) 
2356465757(12) 4656665356(19) 2656665756(19) 2656665756(19) 2656665756(19) 2656665756(19) 2656665756(19) 2656665756(19) 2656665756(19) 4656765756(19) 
4656765756(16) 4656765756(16) 4656765756(16) 4656765756(16) 4656765756(16) 4656765756(16) 4656765756(16) 4656765756(16) 4656765756(16) 4656765756(16) 
2656665756(16) 2656665756(16) 2656665756(16) 2656665756(16) 2656665756(16) 2656665756(16) 2656665756(16) 2656665756(16) 2656665756(16) 2656665756(16) 
2656665756(13) 2656665756(13) 2656665756(13) 2656665756(13) 2656665756(13) 2656665756(13) 2656665756(13) 2656665756(13) 2656665756(13) 2656665756(13) 
2656765756(18) 2656665756(21) 2656665756(21) 2656665756(21) 2656665756(21) 2656665756(21) 2656665756(21) 2656665756(21) 2656665756(21) 2656665756(21) 
4656665756(18) 4656665756(18) 4656665756(18) 2656765756(21) 2656765756(21) 2656765756(21) 2656765756(21) 2656665756(23) 2656665756(23) 2656665756(23) 
4656765756(18) 4656765756(18) 4656765756(18) 4656765756(18) 4656765756(18) 4656765756(18) 4656765756(18) 4656765756(18) 4656765756(18) 4656765756(18) 
4656665756(14) 4656665756(14) 4656665756(14) 4656665756(14) 4656665756(14) 4656665756(14) 4656665756(14) 4656665756(14) 4656665756(14) 4656665756(14) 
4656665758(16) 4656665758(16) 4656665758(16) 4656765756(17) 4656765756(17) 4656765756(17) 4656765756(17) 4656765756(17) 4656765756(17) 4656765756(17) 
4656765758(16) 4656765758(16) 4656765758(16) 4656765758(16) 4656765758(16) 4656765758(16) 4656765758(16) 4656765758(16) 46567a6716(18) 46567a6716(18) 
4656746718(17) 4656665758(18) 4656665758(18) 4656665758(18) 4656665758(18) 4656665758(18) 4656665758(18) 4654665863(18) 4656666716(18) 46368a6756(18) 
4656666716(15) 4656765718(16) 4656765718(16) 4656765718(16) 4656765718(16) 4656765718(16) 4656765718(16) 4656765718(16) 4656765718(16) 4656765718(16) 
4656665718(15) 4656665718(15) 4656665718(15) 4856665756(16) 4856665758(16) 4856665758(16) 4656665716(16) 4656666756(18) 4656666768(18) 4656666768(18) 
4656665756(14) 4656665756(14) 4656666718(15) 4656666718(15) 4656666718(15) 4656666718(15) 4656666718(15) 4656666718(15) 4656666718(15) 4656665766(16) 
4656666768(12) 4656666768(12) 4656666768(12) 4656666768(12) 4656666768(12) 4656666768(12) 4656666768(12) 4656666768(12) 4656666768(12) 4656666768(12) 
4656666716(14) 4656666716(14) 4656666716(14) 4656666758(16) 4656666758(16) 4656666758(16) 4656666758(16) 4656665718(16) 4656665718(16) 4656665718(16) 
3656666768(16) 3656666768(16) 3656666768(16) 3656666768(16) 3656666768(16) 4656666668(17) 4656666668(17) 4656666768(17) 4656666768(17) 4656666768(17) 
